brand_id,brand_name,primary_manufacturer,primary_category,product_series_count,main_subcategories,highest_priority
brand_001,AllWell,ユニ・チャーム,フード,4,ドライフード,A
brand_002,CIAO / いなば,いなばペットフード,おやつ・嗜好品,15,おやつ、機能性おやつ、ウェットフード、サプリメント,A
brand_003,DHC,DHC,ヘルスケア・栄養補助,3,サプリメント,B
brand_004,PETKISS,ライオンペット,ケア・掃除,5,デンタルケア用品、デンタルおやつ,A
brand_005,Physicalife,ユニ・チャーム,フード,4,ドライフード,B
brand_006,iti / イティ,各社/輸入元,フード,2,ドライフード,B
brand_007,ねこ元気,ユニ・チャーム,フード,4,ドライフード、ウェットフード,A
brand_008,アイムス,マース ジャパン,フード,5,ドライフード,B
brand_009,アイリスオーヤマ,アイリスオーヤマ,猫砂・トイレ,17,猫砂（鉱物）、猫砂（木・ひのき）、猫砂（紙）、猫砂（おから）、猫砂（シリカゲル）,A
brand_010,アカナ,各社/輸入元,フード,4,ドライフード,B
brand_011,アニモンダ,各社/輸入元,フード,3,ウェットフード、療法食,B
brand_012,アルモネイチャー,各社/輸入元,フード,3,ウェットフード,B
brand_013,アーテミス,各社/輸入元,フード,2,ドライフード,B
brand_014,オリジン,各社/輸入元,フード,4,ドライフード,B
brand_015,カナガン,各社/輸入元,フード,2,ドライフード,B
brand_016,カルカン,マース ジャパン,フード,8,ウェットフード、ドライフード,A
brand_017,キアオラ / Kia Ora,各社/輸入元,フード,3,ドライフード,B
brand_018,キャティーマン,ドギーマンハヤシ,おやつ・嗜好品,4,おやつ、おもちゃ、グルーミング用品,B
brand_019,キャラット,ペットライン,フード,4,ドライフード、ウェットフード,A
brand_020,クプレラ,各社/輸入元,フード,2,ドライフード,B
brand_021,グランツ,各社/輸入元,フード,3,ドライフード,B
brand_022,グリニーズ,マース ジャパン,おやつ・嗜好品,5,デンタルおやつ、機能性おやつ,A
brand_023,コンボ,日本ペットフード,フード,5,ドライフード、ウェットフード、おやつ,A
brand_024,コンボ ピュア,日本ペットフード,フード,2,ドライフード、ウェットフード,B
brand_025,シーバ,マース ジャパン,フード,5,ドライフード、ウェットフード、おやつ,A
brand_026,ジウィ / ZIWI,各社/輸入元,フード,2,ドライフード、ウェットフード,B
brand_027,スーパーキャット,スーパーキャット,ケア・掃除,1,デンタルケア用品,B
brand_028,セレクトバランス,各社/輸入元,フード,3,ドライフード,B
